job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name,remote_work_type,posting_year,application_duration,posting_month_num,posting_month
AI Research Scientist,90376,Senior Level,Contract,China,Medium,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,5.9,Smart Analytics,Hybrid,2024,20,10,October
AI Software Engineer,61895,Entry Level,Contract,Canada,Medium,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,5.2,TechCorp Inc,Remote,2024,52,11,November
AI Specialist,152626,Mid Level,Freelance,Switzerland,Large,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,9.4,Autonomous Tech,On-site,2025,20,3,March
NLP Engineer,80215,Senior Level,Freelance,India,Medium,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,8.6,Future Systems,Hybrid,2024,63,12,December
AI Consultant,54624,Entry Level,Part-Time,France,Small,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,6.6,Advanced Robotics,Remote,2025,69,4,April
AI Architect,123574,Senior Level,Contract,Germany,Medium,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,5.9,Neural Networks Co,Hybrid,2024,34,8,August
Principal Data Scientist,79670,Mid Level,Freelance,United Kingdom,Small,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,6.3,DataVision Ltd,On-site,2024,61,12,December
NLP Engineer,70640,Entry Level,Freelance,France,Large,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,7.6,Cloud AI Solutions,On-site,2024,24,6,June
Data Analyst,160710,Senior Level,Contract,Singapore,Large,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,9.3,Quantum Computing Inc,On-site,2024,20,11,November
AI Software Engineer,102557,Senior Level,Part-Time,Austria,Medium,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,5.8,Cloud AI Solutions,On-site,2024,17,10,October
Autonomous Systems Engineer,102322,Senior Level,Part-Time,Sweden,Medium,100,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,9.9,Smart Analytics,Remote,2025,35,1,January
AI Architect,115047,Executive Level,Contract,South Korea,Small,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,6.8,TechCorp Inc,On-site,2024,34,7,July
AI Consultant,124355,Senior Level,Contract,France,Medium,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,5.2,Predictive Systems,Remote,2024,29,12,December
Autonomous Systems Engineer,68760,Entry Level,Contract,Norway,Small,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,9.1,Cloud AI Solutions,On-site,2024,14,2,February
AI Research Scientist,150122,Senior Level,Full-Time,Sweden,Medium,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,9.8,Advanced Robotics,Remote,2024,55,10,October
AI Product Manager,78846,Entry Level,Part-Time,United Kingdom,Large,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,9.6,DataVision Ltd,On-site,2024,28,9,September
Principal Data Scientist,59823,Entry Level,Full-Time,India,Large,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,5.8,Predictive Systems,Remote,2025,48,2,February
Machine Learning Engineer,181139,Executive Level,Contract,France,Large,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,8.7,AI Innovations,Remote,2024,40,4,April
Data Engineer,155300,Senior Level,Contract,Singapore,Medium,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,8.6,Algorithmic Solutions,On-site,2024,29,4,April
Research Scientist,93851,Mid Level,Part-Time,Netherlands,Large,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,6.7,AI Innovations,Remote,2024,62,5,May
Data Engineer,134197,Mid Level,Full-Time,Norway,Medium,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,9.6,AI Innovations,On-site,2024,68,6,June
Autonomous Systems Engineer,102550,Mid Level,Part-Time,United States,Medium,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,10.0,Cognitive Computing,On-site,2024,61,4,April
ML Ops Engineer,99382,Senior Level,Contract,Germany,Small,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,6.9,Quantum Computing Inc,On-site,2025,59,3,March
